N,P,K,temperature,humidity,ph,rainfall,label
21.92,37.0,27.53,30.43,50.0,6.84,79.87,pigeonpeas
29.49,49.94,30.03,29.52,41.26,6.97,74.84,pigeonpeas
23.71,49.34,33.06,31.13,53.18,6.48,78.47,pigeonpeas
25.21,53.65,32.88,29.59,52.8,6.84,79.22,pigeonpeas
29.45,49.25,29.53,27.92,51.18,6.68,72.36,pigeonpeas
24.3,43.75,30.09,30.94,49.29,6.86,77.51,pigeonpeas
29.77,47.02,31.9,32.4,49.06,6.35,79.48,pigeonpeas
30.87,45.12,31.06,27.13,47.22,6.88,85.19,pigeonpeas
24.37,46.84,27.63,28.08,50.24,6.8,82.64,pigeonpeas
30.54,53.39,33.16,29.4,53.13,6.38,80.67,pigeonpeas
31.89,48.4,32.76,33.18,47.53,6.95,79.38,pigeonpeas
32.14,45.59,32.61,32.58,52.1,6.7,77.55,pigeonpeas
24.61,50.19,34.37,29.59,43.97,6.59,82.89,pigeonpeas
23.56,35.21,28.52,26.6,51.08,6.65,80.4,pigeonpeas
32.9,40.46,22.84,29.95,51.56,6.39,77.54,pigeonpeas
26.05,45.14,27.95,34.44,49.13,6.8,76.77,pigeonpeas
16.49,51.9,19.48,32.26,45.6,6.41,79.27,pigeonpeas
36.65,46.6,29.36,28.72,52.17,6.66,84.76,pigeonpeas
19.32,47.64,31.06,27.73,46.56,6.71,76.76,pigeonpeas
28.71,37.83,27.05,33.52,47.19,6.64,78.82,pigeonpeas
26.34,51.03,28.09,31.42,47.15,6.94,78.57,pigeonpeas
26.77,44.56,31.83,28.01,46.77,7.26,83.38,pigeonpeas
26.0,48.21,29.8,26.25,50.54,6.72,82.33,pigeonpeas
24.27,43.9,33.81,29.75,48.57,6.84,77.37,pigeonpeas
31.95,44.13,31.21,28.83,45.84,6.93,81.75,pigeonpeas
30.16,48.68,25.1,30.2,43.31,6.88,72.76,pigeonpeas
29.45,48.63,28.2,29.96,54.07,6.34,84.29,pigeonpeas
27.99,49.74,24.49,30.01,53.68,7.09,74.87,pigeonpeas
26.34,54.21,25.27,29.92,50.59,6.79,73.77,pigeonpeas
31.52,49.44,36.05,28.68,48.39,7.02,92.1,pigeonpeas
27.46,37.36,29.28,31.61,52.26,7.03,92.83,pigeonpeas
25.7,40.48,25.99,29.8,53.4,7.18,81.46,pigeonpeas
27.56,44.34,34.09,28.73,49.65,6.73,79.82,pigeonpeas
35.03,40.54,38.18,28.91,47.27,6.58,84.32,pigeonpeas
27.44,50.61,27.25,27.21,48.76,6.82,70.2,pigeonpeas
27.06,47.68,27.31,28.63,46.35,6.71,83.04,pigeonpeas
38.95,50.83,25.79,27.44,49.63,7.14,84.38,pigeonpeas
25.3,50.01,34.59,32.44,46.45,6.86,71.46,pigeonpeas
24.14,38.61,29.13,27.61,52.58,6.75,74.24,pigeonpeas
29.52,52.65,31.15,29.03,49.05,6.72,75.32,pigeonpeas
20.37,43.11,34.14,28.62,43.57,6.73,87.35,pigeonpeas
20.32,45.95,31.37,30.89,51.86,6.9,69.44,pigeonpeas
30.07,51.89,29.26,30.62,46.62,7.08,75.88,pigeonpeas
34.37,43.1,32.26,29.11,56.26,6.26,82.46,pigeonpeas
18.84,38.98,36.31,31.51,43.3,6.75,75.87,pigeonpeas
29.87,54.25,32.18,30.72,51.69,6.48,84.67,pigeonpeas
31.34,41.94,27.86,32.42,50.7,6.47,77.17,pigeonpeas
25.59,44.68,29.76,29.58,55.58,6.96,89.89,pigeonpeas
20.44,45.56,33.92,31.21,47.74,6.56,86.4,pigeonpeas
26.61,48.24,30.52,29.8,50.4,6.54,91.34,pigeonpeas
29.78,52.0,28.24,29.1,48.94,6.53,84.52,pigeonpeas
30.47,42.43,28.93,30.63,47.49,6.65,90.4,pigeonpeas
24.39,42.42,38.35,26.46,46.05,7.2,77.27,pigeonpeas
29.58,55.6,27.61,29.01,51.37,6.73,76.5,pigeonpeas
26.94,38.36,31.55,31.39,49.46,6.69,83.66,pigeonpeas
25.26,43.46,29.77,32.45,49.84,6.72,78.91,pigeonpeas
25.9,40.18,26.94,31.43,48.1,6.77,76.82,pigeonpeas
21.97,42.68,34.66,29.31,47.75,6.64,77.77,pigeonpeas
28.45,42.94,29.67,29.18,51.19,6.83,81.41,pigeonpeas
30.14,44.5,34.04,30.78,54.96,6.73,81.81,pigeonpeas
24.66,45.08,32.73,29.39,54.97,6.76,90.55,pigeonpeas
23.13,43.62,28.35,31.68,52.14,6.73,76.96,pigeonpeas
27.39,48.62,32.79,29.9,48.51,6.78,80.86,pigeonpeas
28.55,42.73,35.8,28.95,55.04,7.1,86.31,pigeonpeas
35.31,47.78,28.94,29.13,47.76,6.96,70.13,pigeonpeas
21.57,52.66,33.38,30.69,53.08,6.94,78.75,pigeonpeas
21.38,51.42,31.49,27.71,50.47,6.63,79.23,pigeonpeas
26.13,47.76,29.31,28.08,52.24,6.87,70.49,pigeonpeas
29.2,49.44,29.49,30.31,47.45,6.31,83.48,pigeonpeas
27.13,47.15,29.22,29.57,50.54,6.73,85.78,pigeonpeas
25.73,37.78,30.48,27.83,41.55,6.48,77.08,pigeonpeas
24.18,37.32,29.25,32.03,52.76,6.75,86.14,pigeonpeas
25.67,40.59,32.26,28.19,51.11,6.74,77.58,pigeonpeas
25.59,50.69,24.7,30.45,49.04,6.56,80.26,pigeonpeas
26.05,44.7,30.82,34.3,53.0,6.85,56.31,mothbeans
26.52,35.67,32.1,29.89,55.55,6.39,65.12,mothbeans
27.75,48.1,29.94,30.98,58.82,6.93,61.88,mothbeans
23.07,41.6,29.88,28.29,47.81,6.7,66.26,mothbeans
25.62,50.42,25.69,29.8,50.19,6.81,64.48,mothbeans
23.4,45.21,27.64,28.62,60.27,6.95,64.08,mothbeans
19.86,43.93,31.91,31.4,58.36,7.06,64.58,mothbeans
23.44,42.53,28.62,33.11,53.59,6.33,67.32,mothbeans
24.67,42.66,23.45,33.73,57.32,6.47,65.76,mothbeans
21.39,38.2,23.0,32.82,57.93,6.67,64.7,mothbeans
30.85,41.22,26.05,31.3,56.83,6.68,57.87,mothbeans
22.44,48.43,32.38,27.1,50.92,6.5,64.87,mothbeans
32.36,43.57,30.21,29.14,63.62,6.6,62.44,mothbeans
25.52,38.38,32.7,30.98,52.19,6.6,55.53,mothbeans
23.15,33.63,28.5,29.84,53.04,6.6,60.79,mothbeans
29.11,52.2,29.43,33.67,53.98,6.67,60.86,mothbeans
27.32,48.09,25.7,31.37,53.28,6.52,64.87,mothbeans
18.6,42.83,36.3,32.02,51.21,6.89,65.44,mothbeans
23.93,42.07,30.0,29.62,54.42,6.93,69.08,mothbeans
20.68,42.66,35.36,35.19,56.23,7.15,71.04,mothbeans
24.56,35.02,29.8,28.01,55.45,7.19,66.24,mothbeans
22.38,39.15,23.46,26.55,60.42,6.96,64.34,mothbeans
24.49,44.74,29.96,34.25,56.3,6.25,70.3,mothbeans
18.57,42.97,25.38,31.09,50.81,6.41,59.77,mothbeans
27.71,44.07,32.22,34.17,55.79,6.89,60.15,mothbeans
24.72,39.26,31.85,33.11,58.22,6.74,69.48,mothbeans
24.52,42.19,31.67,32.69,62.35,6.93,59.5,mothbeans
21.74,38.49,30.26,28.43,59.54,6.68,68.21,mothbeans
25.51,46.72,26.54,30.92,53.58,6.72,65.62,mothbeans
27.27,42.67,32.75,31.77,60.46,5.92,61.79,mothbeans
29.2,32.39,34.95,31.19,48.19,6.93,59.74,mothbeans
21.96,52.32,28.71,28.76,61.69,6.98,63.33,mothbeans
22.37,43.98,35.26,28.71,50.75,7.07,63.59,mothbeans
25.33,47.62,28.7,25.34,54.29,7.06,75.86,mothbeans
24.61,44.86,34.55,32.39,55.98,6.26,62.92,mothbeans
25.72,37.43,28.78,34.99,54.14,6.39,55.56,mothbeans
24.96,42.11,27.1,31.53,55.95,6.79,66.75,mothbeans
20.9,41.8,28.91,30.87,58.3,6.57,61.11,mothbeans
29.96,45.79,25.34,30.27,50.88,6.47,58.33,mothbeans
22.35,55.3,33.37,34.22,58.63,6.72,67.02,mothbeans
25.34,39.66,26.13,33.1,50.94,6.8,68.26,mothbeans
27.51,46.85,26.0,32.26,54.54,6.51,55.06,mothbeans
26.5,37.24,24.31,35.08,51.0,6.65,65.36,mothbeans
25.23,39.9,27.64,32.88,54.07,6.74,54.19,mothbeans
23.09,49.29,27.57,28.78,56.25,6.9,66.67,mothbeans
23.11,48.75,35.43,33.73,49.79,7.48,58.37,mothbeans
20.91,46.52,29.69,31.84,59.37,6.98,60.53,mothbeans
25.24,50.06,33.51,33.62,57.72,6.93,62.43,mothbeans
20.61,47.11,28.49,33.9,52.09,6.65,62.86,mothbeans
28.22,48.76,30.08,31.68,60.38,6.31,68.74,mothbeans
28.6,51.07,32.68,29.19,53.2,6.92,62.05,mothbeans
24.34,37.47,26.03,31.81,53.58,6.56,64.06,mothbeans
26.0,43.69,30.58,31.21,54.16,6.75,60.56,mothbeans
23.33,35.81,26.11,28.23,53.67,7.03,64.95,mothbeans
25.5,40.29,30.96,34.96,54.71,6.54,59.17,mothbeans
25.88,40.29,32.38,28.64,49.48,6.87,58.53,mothbeans
27.02,50.19,28.02,31.49,59.64,6.63,72.99,mothbeans
23.9,40.31,30.33,31.53,58.78,6.97,66.85,mothbeans
27.19,45.9,32.64,29.79,51.4,6.8,78.45,mothbeans
27.69,41.5,34.65,26.65,54.16,6.85,61.63,mothbeans
23.02,44.15,28.19,29.17,51.39,6.36,60.17,mothbeans
24.66,50.03,27.79,28.17,60.35,6.46,65.47,mothbeans
21.88,41.41,31.29,32.08,59.24,6.92,65.77,mothbeans
27.08,39.85,34.04,32.24,56.63,6.9,57.6,mothbeans
21.22,45.66,30.48,32.34,55.36,6.7,71.29,mothbeans
26.17,48.73,33.98,33.95,56.06,6.93,66.33,mothbeans
28.58,56.4,26.52,29.24,60.28,6.8,62.85,mothbeans
22.69,49.69,31.87,35.68,54.7,6.98,73.27,mothbeans
20.22,39.73,30.9,29.66,53.6,6.58,64.26,mothbeans
21.99,38.6,31.28,31.29,58.26,6.88,67.12,mothbeans
27.51,40.43,28.34,31.64,58.12,6.91,63.94,mothbeans
24.38,46.25,26.15,32.98,57.57,6.98,69.97,mothbeans
28.33,35.58,30.75,27.66,51.82,6.72,70.92,mothbeans
26.1,46.16,35.95,31.56,51.83,6.4,60.64,mothbeans
25.37,37.3,31.46,31.72,52.6,6.78,67.58,mothbeans
22.89,48.66,27.61,32.37,59.86,6.83,58.63,mothbeans
25.3,45.41,27.13,28.06,53.73,6.97,69.09,mothbeans
29.0,44.78,36.55,29.03,56.47,6.69,72.46,mothbeans
25.11,39.84,30.81,28.38,52.09,6.98,64.9,mothbeans
27.85,40.63,34.32,30.59,48.48,6.53,58.01,mothbeans
20.12,47.55,31.22,32.38,52.54,6.88,57.66,mothbeans
23.39,44.21,28.1,31.23,54.92,6.87,66.52,mothbeans
28.18,42.6,32.17,31.65,55.81,6.78,54.22,mothbeans
31.39,40.42,27.35,30.25,50.63,7.19,61.9,mothbeans
22.72,40.85,31.46,34.26,55.91,6.56,71.61,mothbeans
25.95,41.39,29.76,31.31,55.79,6.75,65.12,mothbeans
31.21,59.17,30.58,28.86,51.5,6.95,56.88,mothbeans
24.39,46.97,30.61,30.06,61.13,6.95,62.65,mothbeans
27.61,44.08,28.28,30.05,58.94,6.61,64.64,mothbeans
28.4,46.52,30.8,29.45,62.77,6.95,53.16,mothbeans
29.35,38.57,25.43,29.37,59.19,6.68,66.05,mothbeans
19.43,50.38,29.11,27.99,56.08,6.87,65.43,mothbeans
29.3,47.92,35.01,30.87,55.37,6.97,70.79,mothbeans
23.89,54.43,30.38,31.01,56.47,6.54,56.77,mothbeans
31.85,50.32,26.92,31.32,57.08,6.63,72.17,mothbeans
23.35,49.96,27.9,32.18,60.17,6.87,62.56,mothbeans
25.74,48.62,28.57,30.08,60.87,7.1,61.68,mothbeans
20.61,38.58,26.28,30.34,54.75,6.4,65.77,mothbeans
15.32,45.7,35.36,28.16,45.4,6.79,68.5,mothbeans
23.64,46.14,34.3,34.94,56.99,6.44,65.85,mothbeans
16.67,44.92,29.2,29.05,87.55,6.69,70.13,mungbean
21.27,48.43,30.17,28.71,84.28,6.6,76.64,mungbean
17.66,43.89,25.48,30.41,83.7,6.97,82.54,mungbean
25.02,38.18,34.7,29.81,86.03,6.97,86.41,mungbean
20.21,47.27,29.69,31.21,83.51,6.85,90.26,mungbean
26.69,50.34,34.87,30.87,86.76,7.24,79.64,mungbean
14.71,44.15,30.62,28.63,83.0,6.63,71.8,mungbean
23.04,53.52,32.25,27.68,85.35,6.54,81.86,mungbean
17.26,49.91,32.34,29.47,85.84,6.77,91.52,mungbean
13.66,47.06,34.14,29.39,84.17,6.79,73.87,mungbean
18.21,39.88,29.41,26.51,84.0,6.89,77.48,mungbean
18.63,49.49,35.26,28.77,87.01,6.31,74.36,mungbean
21.79,46.29,30.4,31.44,84.66,6.94,76.74,mungbean
17.91,35.63,32.25,28.55,86.68,7.0,78.52,mungbean
20.29,45.99,29.32,27.57,87.41,6.61,83.53,mungbean
20.97,46.45,30.73,31.52,83.55,7.0,81.11,mungbean
20.13,42.92,29.85,30.97,83.05,6.32,78.17,mungbean
22.34,43.5,34.57,32.16,87.34,7.11,81.76,mungbean
21.89,41.59,21.05,30.68,83.71,6.7,63.43,mungbean
22.99,43.99,28.03,28.08,83.65,6.54,73.53,mungbean
15.29,43.95,28.87,31.43,82.08,6.64,74.06,mungbean
21.14,44.74,32.83,33.06,85.0,6.88,75.0,mungbean
19.58,45.12,37.13,28.1,84.78,6.75,74.97,mungbean
21.17,45.07,30.4,28.8,86.22,6.52,77.52,mungbean
22.82,51.99,27.5,31.04,84.86,7.01,80.74,mungbean
25.66,52.66,26.76,29.46,83.75,6.73,67.88,mungbean
14.42,50.1,31.14,31.26,83.49,6.49,78.71,mungbean
24.61,45.38,30.61,31.96,85.63,6.8,82.85,mungbean
19.36,52.87,29.65,28.8,86.14,6.99,76.85,mungbean
22.41,50.38,18.83,27.13,85.67,6.52,91.24,mungbean
21.08,44.49,30.21,29.37,83.93,6.78,86.69,mungbean
14.84,46.2,28.5,30.14,83.75,6.79,72.85,mungbean
19.93,43.7,24.45,30.7,80.31,6.66,70.06,mungbean
20.86,43.32,32.72,29.66,84.65,7.03,76.9,mungbean
19.9,52.13,32.21,33.3,85.77,6.62,87.16,mungbean
23.07,43.63,31.8,29.86,85.83,6.76,79.13,mungbean
25.63,47.28,25.56,30.35,84.5,6.83,81.6,mungbean
21.22,36.51,24.77,32.33,84.96,7.08,83.52,mungbean
18.22,36.56,31.71,30.86,87.92,6.7,80.51,mungbean
13.97,41.97,30.82,29.42,83.54,7.1,90.68,mungbean
16.44,45.49,28.57,32.47,85.4,6.9,73.77,mungbean
24.42,43.51,36.21,31.82,83.92,6.88,81.62,mungbean
19.26,48.75,29.92,30.05,83.95,6.56,80.51,mungbean
20.6,50.38,25.48,30.19,87.66,6.58,73.04,mungbean
16.91,48.96,25.78,30.03,83.88,6.61,77.96,mungbean
18.75,43.16,29.82,30.45,84.24,6.87,76.8,mungbean
18.49,45.21,24.28,28.63,83.89,6.49,78.46,mungbean
17.56,40.44,33.39,33.47,86.66,6.82,87.49,mungbean
21.05,43.7,30.37,29.44,81.33,6.54,74.47,mungbean
21.61,42.59,24.0,29.95,85.48,6.94,82.43,mungbean
27.97,40.66,34.39,31.54,83.94,6.72,75.03,mungbean
19.59,42.78,28.52,29.99,83.27,7.03,85.85,mungbean
17.68,49.31,26.5,27.03,85.52,6.89,75.07,mungbean
21.75,54.8,40.04,28.55,85.54,6.44,98.88,mungbean
18.55,49.3,30.31,28.24,84.66,6.41,75.73,mungbean
19.11,46.12,22.43,29.89,89.25,6.51,82.17,mungbean
18.59,30.89,26.68,28.86,86.41,6.74,78.53,mungbean
22.24,45.65,29.45,31.11,82.71,6.7,88.36,mungbean
12.87,41.05,30.52,30.38,84.44,6.86,74.09,mungbean
23.26,45.97,36.05,31.41,85.92,7.1,74.65,mungbean
19.02,36.25,32.9,32.76,84.19,6.45,87.5,mungbean
17.54,42.48,35.13,29.4,84.69,7.15,83.94,mungbean
16.45,52.53,24.2,31.68,85.82,6.62,74.81,mungbean
16.29,53.65,30.41,28.95,85.96,7.05,82.13,mungbean
22.32,49.77,30.2,30.53,84.81,6.5,71.55,mungbean
21.5,41.46,29.93,29.59,86.62,6.82,82.04,mungbean
19.04,44.31,28.87,30.42,82.13,6.75,82.45,mungbean
21.31,39.61,28.6,29.37,84.1,6.45,72.76,mungbean
20.03,46.93,30.49,28.55,85.64,6.7,76.7,mungbean
16.92,42.45,32.39,29.69,84.79,6.5,98.6,mungbean
12.45,34.86,28.25,30.33,87.96,6.88,82.01,mungbean
23.07,45.48,23.48,30.42,85.36,7.29,75.19,mungbean
24.19,38.2,35.11,30.22,86.39,6.93,84.52,mungbean
20.33,41.72,29.47,28.72,84.81,6.35,81.15,mungbean
23.26,51.01,34.38,30.25,84.74,6.69,82.62,mungbean
22.39,46.69,25.52,32.3,85.8,7.0,80.35,mungbean
19.13,54.69,26.43,27.19,88.33,6.81,77.14,mungbean
18.05,34.97,36.22,31.18,85.85,6.96,73.9,mungbean
21.53,50.43,22.65,30.99,86.25,6.78,74.1,mungbean
19.45,42.71,31.21,29.11,86.27,6.62,76.53,mungbean
23.9,44.2,31.77,27.84,87.53,6.39,80.65,mungbean
19.25,41.18,29.09,32.06,87.9,6.69,77.62,mungbean
13.74,53.58,26.45,28.48,85.17,6.93,90.16,mungbean
27.25,48.77,28.4,28.91,84.7,6.95,86.37,mungbean
22.06,35.53,28.11,32.43,84.11,6.73,98.18,mungbean
19.75,52.12,36.13,31.26,84.28,6.18,74.27,mungbean
22.14,47.96,33.91,28.16,85.33,6.24,74.11,mungbean
21.76,34.09,32.72,33.05,82.61,6.69,91.46,mungbean
21.67,46.99,30.36,27.71,84.77,7.07,80.58,mungbean
22.41,43.19,27.1,29.28,83.24,6.41,79.87,mungbean
19.24,40.3,32.32,28.45,85.71,6.87,91.11,mungbean
21.14,48.95,30.25,27.65,86.43,7.17,79.17,mungbean
26.98,49.62,36.67,29.7,83.53,6.76,75.16,mungbean
20.66,43.79,30.55,29.85,83.38,6.62,88.46,mungbean
19.79,38.3,23.28,29.46,85.46,6.45,68.08,mungbean
21.87,60.97,32.91,28.34,84.8,6.72,71.52,mungbean
15.32,44.29,32.63,30.42,83.86,6.88,83.48,mungbean
16.72,38.91,32.15,31.89,85.68,7.04,89.78,mungbean
14.91,47.39,34.39,31.89,87.38,6.6,84.54,mungbean
22.59,42.01,30.64,27.78,83.59,6.83,87.01,mungbean
20.0,52.67,34.96,28.36,69.83,6.62,87.3,blackgram
22.39,41.03,33.08,27.8,71.96,6.14,81.46,blackgram
17.64,48.38,30.84,26.35,67.76,6.6,89.41,blackgram
25.44,48.41,34.74,28.74,70.69,6.78,76.2,blackgram
18.83,43.22,31.52,30.83,69.09,6.62,71.41,blackgram
21.68,44.48,29.9,30.91,69.17,6.51,78.99,blackgram
18.85,46.09,27.98,29.27,67.78,6.65,72.31,blackgram
17.8,47.7,30.57,29.74,69.63,6.98,75.63,blackgram
21.47,41.42,30.93,29.75,69.09,6.83,78.73,blackgram
15.96,42.58,25.82,30.24,68.99,6.43,84.62,blackgram
21.34,44.08,29.03,31.52,69.55,6.81,75.88,blackgram
21.86,44.29,31.73,29.54,68.75,6.45,81.3,blackgram
18.47,38.51,34.17,31.71,66.61,6.22,73.64,blackgram
20.52,58.4,26.06,29.47,72.22,6.63,89.01,blackgram
23.11,44.85,32.94,31.56,67.66,6.71,78.83,blackgram
20.1,38.93,26.68,30.09,69.99,7.1,83.73,blackgram
24.77,51.55,33.79,24.11,68.71,6.87,74.78,blackgram
18.24,48.34,30.16,29.42,72.89,6.64,88.98,blackgram
19.83,45.5,28.8,28.6,69.63,6.41,86.06,blackgram
20.38,42.8,32.65,28.26,66.72,6.86,74.46,blackgram
15.35,45.81,33.22,28.7,68.51,7.13,74.26,blackgram
22.83,47.15,27.58,29.77,68.57,6.58,81.61,blackgram
17.64,36.76,32.37,28.99,71.33,6.71,98.91,blackgram
21.86,38.27,25.43,28.51,69.29,6.34,75.93,blackgram
20.05,37.18,29.67,30.39,68.33,6.9,83.0,blackgram
23.64,48.32,29.29,29.74,70.77,6.84,72.63,blackgram
23.09,42.2,33.78,30.3,68.92,6.75,90.9,blackgram
17.5,36.45,29.15,32.1,72.65,7.01,70.13,blackgram
19.21,42.61,29.41,28.18,69.54,6.45,96.03,blackgram
20.2,42.41,25.87,31.6,70.97,7.04,84.52,blackgram
18.44,41.36,27.45,29.32,71.14,6.61,84.16,blackgram
22.51,42.73,33.26,30.7,70.64,6.74,83.51,blackgram
17.13,40.81,30.83,31.49,69.62,6.88,81.15,blackgram
17.39,45.06,31.28,28.85,69.01,6.63,83.57,blackgram
15.08,46.37,30.87,30.34,69.06,6.82,76.06,blackgram
17.46,49.0,25.57,28.93,69.04,6.91,74.1,blackgram
18.04,39.57,35.52,29.54,69.13,6.78,87.54,blackgram
13.09,39.6,30.73,28.95,67.6,6.57,83.41,blackgram
21.09,54.8,24.54,27.53,67.99,6.99,77.27,blackgram
14.94,49.06,27.53,31.86,70.36,6.58,87.71,blackgram
22.72,52.51,28.62,29.47,72.45,7.03,84.0,blackgram
17.17,39.76,25.23,28.35,69.66,6.45,86.7,blackgram
11.4,40.99,27.73,31.01,70.87,6.44,83.83,blackgram
16.52,46.46,25.93,30.21,72.45,7.26,88.84,blackgram
16.56,42.4,26.89,28.98,67.09,6.59,89.02,blackgram
27.45,47.17,30.68,31.12,67.37,6.54,87.2,blackgram
19.22,43.16,32.85,26.82,71.95,6.55,85.79,blackgram
20.0,48.64,33.31,28.31,71.4,6.88,90.82,blackgram
18.24,50.94,32.43,29.26,71.67,6.66,87.83,blackgram
19.67,45.54,30.23,31.69,69.86,6.9,86.0,blackgram
17.14,49.62,34.91,30.85,70.68,6.54,90.02,blackgram
14.89,45.72,35.17,28.85,70.9,6.57,86.34,blackgram
15.28,42.94,27.87,30.17,67.16,7.13,84.31,blackgram
18.37,52.45,29.92,30.43,70.48,7.15,83.42,blackgram
16.44,45.45,31.4,29.96,68.92,6.55,72.6,blackgram
21.6,40.83,27.86,30.85,71.8,6.49,80.45,blackgram
18.69,47.53,26.53,28.66,70.7,6.6,76.5,blackgram
19.96,40.42,29.09,32.14,69.71,6.72,79.76,blackgram
14.93,45.89,33.39,32.1,74.76,6.68,83.68,blackgram
16.33,54.26,33.31,31.6,70.99,6.72,67.7,blackgram
24.17,48.34,30.86,28.62,71.45,6.82,83.67,blackgram
16.31,39.39,29.7,29.82,68.27,7.18,79.94,blackgram
19.78,46.3,34.91,28.71,69.69,6.43,88.62,blackgram
21.42,45.79,30.95,33.03,69.82,6.6,79.12,blackgram
23.44,47.94,31.6,28.92,70.91,6.9,83.12,blackgram
19.56,47.37,31.33,29.2,69.48,6.32,85.99,blackgram
19.63,52.75,24.05,30.28,70.99,6.58,85.32,blackgram
20.94,47.65,29.22,24.71,70.13,6.77,78.23,blackgram
15.58,47.61,31.32,32.63,68.66,7.05,82.6,blackgram
18.35,47.5,32.92,29.12,72.62,6.75,75.31,blackgram
16.2,50.36,28.16,30.15,70.18,6.72,88.21,blackgram
18.39,39.45,22.33,29.8,69.56,7.06,78.39,blackgram
23.41,43.55,35.74,28.38,69.33,6.92,89.43,blackgram
22.81,38.32,33.63,29.98,67.29,6.61,80.47,blackgram
17.34,51.53,31.79,31.9,68.53,6.33,85.14,blackgram
20.11,49.32,32.2,30.26,71.34,6.77,83.7,blackgram
26.59,51.45,26.49,27.36,72.26,6.64,81.73,blackgram
18.37,46.64,28.62,28.02,67.03,6.15,76.35,blackgram
24.08,40.31,29.92,31.87,72.19,6.61,86.65,blackgram
18.75,35.31,33.19,30.18,68.54,6.8,84.45,blackgram
20.56,40.16,29.42,30.51,71.26,6.7,76.18,blackgram
21.41,51.18,28.01,30.84,71.75,7.01,90.34,blackgram
20.94,52.04,34.51,28.62,70.52,6.81,78.51,blackgram
18.9,34.96,32.37,31.41,71.92,7.09,78.97,blackgram
19.47,52.72,33.6,28.77,66.07,6.69,76.27,blackgram
20.21,49.85,25.18,30.46,67.97,7.37,82.8,blackgram
21.58,39.78,22.89,28.4,68.41,7.04,75.81,blackgram
22.76,47.11,29.63,25.86,69.08,6.99,85.63,blackgram
20.5,37.82,30.42,30.42,69.19,6.86,78.36,blackgram
13.31,41.78,27.7,32.03,71.2,6.74,79.31,blackgram
21.86,52.47,26.78,28.93,71.92,6.87,79.94,blackgram
23.85,47.76,26.86,30.46,69.99,7.16,86.04,blackgram
21.61,45.67,31.74,27.68,67.58,6.85,84.83,blackgram
18.66,35.01,26.37,30.9,70.21,6.59,77.08,blackgram
20.89,44.25,29.47,29.16,70.25,6.82,78.85,blackgram
25.54,42.06,30.55,27.41,68.34,6.98,86.74,blackgram
20.72,41.64,31.18,28.35,71.78,6.09,80.25,blackgram
17.34,51.47,29.34,32.06,72.41,6.86,72.95,blackgram
17.49,42.5,31.33,30.63,67.78,6.95,76.58,blackgram
18.82,46.29,29.57,32.61,71.9,6.42,75.93,blackgram
23.83,60.76,32.09,20.04,67.05,6.94,50.78,lentil
17.74,64.05,24.63,19.6,63.94,6.56,43.6,lentil
13.31,68.26,29.29,19.7,65.84,7.02,53.07,lentil
18.56,61.25,26.98,21.22,65.04,6.98,50.95,lentil
22.61,63.57,30.29,17.93,65.55,7.17,45.69,lentil
17.74,64.12,35.58,18.26,60.97,6.6,47.92,lentil
19.52,58.26,28.32,18.92,63.62,6.84,49.89,lentil
14.72,70.55,31.47,20.92,64.53,6.81,42.82,lentil
25.28,69.43,29.2,17.8,64.49,6.9,45.86,lentil
17.35,61.07,27.09,22.23,66.58,6.92,44.55,lentil
20.69,67.4,23.02,20.34,67.34,7.2,43.54,lentil
20.92,66.96,34.02,16.93,61.65,6.79,49.58,lentil
19.58,57.81,34.26,22.46,64.01,6.79,42.68,lentil
25.78,50.64,26.43,18.52,63.25,7.07,57.17,lentil
20.87,57.76,32.41,18.49,67.23,6.74,49.25,lentil
17.7,58.64,24.6,20.03,66.48,6.29,43.29,lentil
18.41,57.94,29.7,19.92,65.47,6.74,40.49,lentil
21.05,68.02,30.86,17.04,65.39,6.87,43.38,lentil
20.25,68.51,35.39,20.21,65.85,6.71,45.79,lentil
24.62,66.42,32.06,19.12,67.45,7.01,42.12,lentil
23.63,61.12,30.93,16.64,62.56,7.0,44.3,lentil
22.71,51.15,25.08,23.18,66.52,6.72,48.43,lentil
17.64,62.37,33.93,19.31,65.81,6.33,55.01,lentil
23.35,59.8,28.89,22.35,64.16,6.84,46.19,lentil
16.92,66.93,28.63,20.77,64.42,6.72,46.79,lentil
17.82,64.89,29.71,21.44,66.24,7.06,45.45,lentil
22.21,58.84,29.93,18.81,64.21,6.91,46.08,lentil
17.57,65.66,31.19,17.97,65.18,7.03,52.07,lentil
18.21,52.6,28.78,22.24,66.24,6.18,51.08,lentil
12.61,72.88,32.82,19.34,65.18,6.92,45.44,lentil
21.55,59.14,29.16,22.54,61.6,6.76,41.7,lentil
19.39,55.28,38.49,19.14,64.77,6.6,51.21,lentil
18.3,55.63,36.23,21.3,65.45,7.35,44.86,lentil
17.29,54.71,34.01,18.97,66.98,6.59,39.94,lentil
17.33,61.91,33.97,22.17,65.61,6.92,36.48,lentil
20.88,60.26,28.97,18.89,66.47,7.03,55.69,lentil
19.35,54.69,36.28,19.47,64.13,6.4,49.25,lentil
22.02,65.62,30.74,20.91,65.92,6.88,52.41,lentil
22.84,61.26,28.21,21.34,64.04,6.71,44.52,lentil
27.11,53.53,32.21,21.13,66.46,6.74,47.85,lentil
19.34,41.88,27.45,22.27,63.64,6.78,58.49,lentil
